Samples,Author,Area,TAS,LAT,LONG,LATUTM,LONGUTM,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,B,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,Li,Mn,Nb,Ni,Pb,Rb,Sb,Sc,Sr,Ta,Th,TL,U,V,Y,Zn,Zr
,,,ACID,,,,,82.24181839,0.059972157,9.735480204,0.285342868,0.570685736,0.019990719,0.079962876,0.509763337,2.548816686,3.938171663,0.00999536,22.274,58.172,8.189,34.908,,10.368,0.106,12.35,2.435,15.26,3.128,9.538,1.606,8.857,1.062,,27.176,,0.853,14.968,9.347,1.67,19.209,4.314,,,22.743,3.599,20.029,373.092,,3.79,14.977,,32.933,,8.505,39.703,92.392,27.636,87.169
,,,ACID,,,,,76.99707484,0.194204755,11.83626877,0.666049225,1.33209845,0.010221303,0.163540847,0.582614266,3.08683348,5.09020885,0.040885212,123,174.33,31.32,122.82,,25.76,1.17,19.82,3.17,19.09,3.97,9.59,1.44,9.68,1.57,,560,,23,5,,3,,,,,47,13,39,279,,,47,,31,,,32,102,130,429
,,,ACID,,,,,77.32325533,0.231295991,11.58491223,0.723950758,1.447901516,0.020112695,0.120676169,0.603380845,2.725270152,5.168962575,0.050281737,118.45,222.7,26.93,92.55,,18.51,0.95,11.51,1.66,9.19,1.83,4.2,0.6,4.01,0.65,,480,,16,3,,3,,,,,40,10,28,218,,,37,,27,,,34,79,109,431
,,,ACID,,,,,78.14400391,0.192672732,11.42853522,0.67023489,1.34046978,0.01014067,0.121688041,0.496892836,2.60615222,4.958787687,0.03042201,79.95,165.93,19.97,78.66,,16.48,0.87,14.07,2.21,13.31,2.79,6.38,0.92,5.93,0.94,,445,,25,,,5,,,,,42,9,30,226,,,31,,32,,,17,78,106,453
,,,ACID,,,,,78.00918428,0.212311155,11.38392192,0.674485707,1.348971414,0.010110055,0.151650825,0.515612804,2.537623802,5.115687823,0.04044022,80.57,168.89,20.04,79.65,,16.37,1,13.18,2.08,12.05,2.51,5.91,0.83,5.35,0.88,,318,,22,,,3,,,,,44,10,40,224,,,32,,28,,,26,74,110,433
,,,ACID,,,,,78.25094033,0.222504936,11.51968735,0.702984517,1.405969034,0.020227721,0.131480189,0.353985125,2.245277078,5.097385799,0.049557917,71.43,172.57,17.07,66.88,,14.96,0.82,15.6,2.13,12.86,2.84,6.68,1,6.64,1.09,,665,,17,6,,4,,,,,42,13,34,227,,,47,,29,,,21,81,113,440
,,,ACID,,,,,79.02983625,0.141034762,11.04100708,0.559541031,1.119082062,0.020147823,0.120886939,0.433178197,2.669586566,4.835477553,0.030221735,80.77,157.21,19.23,74.33,,14.9,0.69,11.52,1.83,10.38,2.21,5.23,0.77,5.13,0.85,,445,,24,,,2,,,,,47,14,42,264,,,19,,34,,,10,112,125,352
,,,ACID,,,,,79.42682622,0.084840455,11.75646309,0.338476275,0.676952551,0.020200108,0.141400759,0.19190103,1.424107642,5.928731815,0.010100054,,,,,,,,,,,,,,,,,103,,56,,,3,,,,,34,14,42,439,,,9,,43,,,8,103,42,171
,,,ACID,,,,,76.81504905,0.092821622,12.34527574,0.416035864,0.832071728,0.020627027,0.587870273,0.639437841,1.804864874,6.435632466,0.010313514,49.22,120,14.67,61.18,,15.74,0.289,14.82,2.34,15.24,3.35,8.2,1.26,8.45,1.19,,71.7,6.5,0.6,1.3,15.9,3.7,23.3,5.5,,,21.9,1.5,38,286,0.7,,13.2,2.8,35.7,,11,3,82.2,62.2,137
,,,ACID,,,,,79.41048542,0.09225434,11.43953811,0.384866791,0.769733582,0.010250482,0.041001929,0.389518323,2.552370062,4.89973048,0.010250482,46.25,118.1,12.55,48.52,,10.78,0.196,8.89,1.42,8.5,1.84,4.53,0.73,4.88,0.65,,625,5.4,0.2,1.7,11.1,8.4,21.6,5.1,,,20.6,1.3,34,276,0.6,,26.5,2.5,33.4,,7.5,5.2,42,43,125
,,,ACID,,,,,78.94488846,0.091867597,11.60593977,0.380085995,0.76017199,0.010207511,0.040830043,0.479753007,2.807065468,4.868982648,0.010207511,50.21,96.07,13.95,56.04,,13.12,0.198,11.11,1.73,10.28,2.28,5.51,0.82,5.55,0.74,,101,6.8,0.3,3.4,10.1,13.1,21,4.9,,,20.1,2.3,35,265,0.7,,17.2,2.5,33.4,,7.6,9.7,54,46,124
,,,ACID,,,,,79.68297971,0.112720265,11.59993995,0.429263395,0.85852679,0.010247297,0.081978374,0.245935123,1.895749903,5.072411903,0.010247297,68.43,124,19.14,73.71,,15.27,0.341,10.86,1.66,9.72,2.01,4.9,0.78,5.1,0.71,,276,4.3,0.5,2.7,10.4,6,21.9,5.6,,,19.3,1.5,31,262,0.4,,26.8,2.2,33.8,,4.6,6.5,48.8,50,160
,,,ACID,,,,,76.85510086,0.070965005,12.8649417,0.408950107,0.817900214,0.010137858,0.101378579,0.476479322,3.244114533,5.129756106,0.020275716,67.86,121.5,19.58,78.11,,21.2,0.106,19.82,3.6,22.15,5.04,12.66,2.01,13.18,1.99,,21.8,11.3,0.2,3.7,14.9,4.2,28.6,6.6,,,32.4,1.4,40.5,479,0.2,,6.8,4.8,61.9,,8,6.3,144,66.1,134
,,,ACID,,,,,76.94943562,0.070744162,13.09777628,0.417085393,0.834170787,0.010106309,0.040425235,0.161700942,3.193593598,5.20474906,0.020212618,37.07,68.52,9.57,35.45,,8.13,0.091,6.72,1.19,7.18,1.62,4.18,0.68,4.48,0.69,,16.9,11.6,0.2,5,20.1,25.2,28.8,6.8,,,33.7,1.4,46,484,0.3,,5.9,5.1,55.4,,7.4,6.4,43.6,65.2,137
,,,ACID,,,,,77.02231003,0.060591826,12.87576312,0.438704008,0.877408017,0.010098638,0.030295913,0.191874117,3.352747729,5.120009333,0.020197275,18.1,35.89,4.25,18.82,,4.24,0.091,3.39,0.65,4.2,0.89,2.24,0.44,3.19,0.46,,13,11.3,0.8,,12.8,24.3,29.1,6.7,,,34.6,1,42.7,520,0.5,,4.9,5.6,50.8,,7.4,3.5,19,50,129
